date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:35:42	42272/42272	---M-Z	200	added ('OK')	text/html	date:Fri,%2027%20Apr%202018%2005:35:38%20GMT	https://www.dymhongkong.com/	C:/My%20Web%20Sites/InternAtDYM/www.dymhongkong.com/index.html	(from )
14:35:42	70/70	---M-Z	200	added ('OK')	text/plain	date:Fri,%2027%20Apr%202018%2005:35:38%20GMT	https://www.dymhongkong.com/robots.txt		(from )
14:35:43	42/42	---M-Z	405	error ('Method%20Not%20Allowed')	text/plain	date:Fri,%2027%20Apr%202018%2005:35:40%20GMT	https://www.dymhongkong.com/xmlrpc.php	C:/My%20Web%20Sites/InternAtDYM/www.dymhongkong.com/xmlrpc.php	(from https://www.dymhongkong.com/)
14:35:43	24909/24909	---M-Z	200	added ('OK')	text/css	etag:%22614d-56aa4341c3d40-gzip%22	https://www.dymhongkong.com/wp-content/themes/dym_hk/style.css?ver=1.0	C:/My%20Web%20Sites/InternAtDYM/www.dymhongkong.com/wp-content/themes/dym_hk/style5152.css	(from https://www.dymhongkong.com/)
14:35:43	14874/14874	---M-Z	200	added ('OK')	text/css	etag:%223a1a-54f8c14a61e00%22	https://www.dymhongkong.com/wp-content/themes/dym_hk/css/mobile.css?ver=1.0	C:/My%20Web%20Sites/InternAtDYM/www.dymhongkong.com/wp-content/themes/dym_hk/css/mobile5152.css	(from https://www.dymhongkong.com/)
14:35:44	97112/97112	---M-Z	200	added ('OK')	application/javascript	etag:W/%220%22	https://www.dymhongkong.com/wp-includes/js/jquery/jquery.js,qver=1.12.4.pagespeed.jm.pPCPAKkkss.js	C:/My%20Web%20Sites/InternAtDYM/www.dymhongkong.com/wp-includes/js/jquery/jquery.js,qver=1.12.4.pagespeed.jm.pPCPAKkkss.js	(from https://www.dymhongkong.com/)
14:35:45	49498/49498	---M-Z	200	added ('OK')	application/javascript	etag:W/%220%22	https://www.dymhongkong.com/wp-content/themes/dym_hk/js/common.js,qver==1.0+jquery.cycle.all.js,qver==1.0+jquery.maximage.min.js,qver==1.0+jquery-scrolltofixed-min.js,qver==1.0.pagespeed.jc.IyfwKWOhds.js	C:/My%20Web%20Sites/InternAtDYM/www.dymhongkong.com/wp-content/themes/dym_hk/js/common.js,qver==1.0+jquery.cycle.all.js,qver==1.0+jquery.maximage.min.js,qver==1.0+jquery-scrolltofixed-min.js,qver==1.0.pagespeed.jc.IyfwKWOhds.js	(from https://www.dymhongkong.com/)
14:35:45	832/832	---M-Z	200	added ('OK')	application/rss+xml	etag:%229684315b49f21740d12c06963194a520-gzip%22	https://www.dymhongkong.com/comments/feed/	C:/My%20Web%20Sites/InternAtDYM/www.dymhongkong.com/comments/feed/index.html	(from https://www.dymhongkong.com/)
14:35:45	854/854	---M-Z	200	added ('OK')	text/xml	date:Fri,%2027%20Apr%202018%2005:35:42%20GMT	https://www.dymhongkong.com/xmlrpc.php?rsd	C:/My%20Web%20Sites/InternAtDYM/www.dymhongkong.com/xmlrpc0db0.php	(from https://www.dymhongkong.com/)
14:35:45	84432/84432	---M-Z	200	added ('OK')	application/json	date:Fri,%2027%20Apr%202018%2005:35:42%20GMT	https://www.dymhongkong.com/wp-json/	C:/My%20Web%20Sites/InternAtDYM/www.dymhongkong.com/wp-json/index.html	(from https://www.dymhongkong.com/)
14:35:45	1045/1045	---M-Z	200	added ('OK')	application/xml	etag:%22415-560aa18322092-gzip%22	https://www.dymhongkong.com/wp-includes/wlwmanifest.xml	C:/My%20Web%20Sites/InternAtDYM/www.dymhongkong.com/wp-includes/wlwmanifest.xml	(from https://www.dymhongkong.com/)
14:35:45	71521/71521	---M-Z	200	added ('OK')	application/rss+xml	etag:%22af27ab6807885d36ef2303ee3f3fe521-gzip%22	https://www.dymhongkong.com/feed/	C:/My%20Web%20Sites/InternAtDYM/www.dymhongkong.com/feed/index.html	(from https://www.dymhongkong.com/)
14:35:46	2550/2550	---M-Z	200	added ('OK')	application/json	date:Fri,%2027%20Apr%202018%2005:35:43%20GMT	https://www.dymhongkong.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fwww.dymhongkong.com%2F	C:/My%20Web%20Sites/InternAtDYM/www.dymhongkong.com/wp-json/oembed/1.0/embedd643.json	(from https://www.dymhongkong.com/)
14:35:46	2777/2777	---M-Z	200	added ('OK')	text/xml	date:Fri,%2027%20Apr%202018%2005:35:43%20GMT	https://www.dymhongkong.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fwww.dymhongkong.com%2F&format=xml	C:/My%20Web%20Sites/InternAtDYM/www.dymhongkong.com/wp-json/oembed/1.0/embedc4dd	(from https://www.dymhongkong.com/)
14:35:47	108/108	---M--	200	added ('OK')	image/gif	etag:W/%220%22	https://www.dymhongkong.com/wp-content/themes/dym_hk/images/arrow_right.gif.pagespeed.ce.Yr4ur0-cri.gif	C:/My%20Web%20Sites/InternAtDYM/www.dymhongkong.com/wp-content/themes/dym_hk/images/arrow_right.gif.pagespeed.ce.Yr4ur0-cri.gif	(from https://www.dymhongkong.com/)
14:35:47	35175/35175	---MC-	200	added ('OK')	text/javascript	date:Thu,%2012%20Apr%202018%2018:13:11%20GMT	https://www.google-analytics.com/analytics.js	C:/My%20Web%20Sites/InternAtDYM/www.google-analytics.com/analytics.js	(from https://www.dymhongkong.com/)
14:35:48	35682/35682	---M-Z	200	added ('OK')	text/html	date:Fri,%2027%20Apr%202018%2005:35:44%20GMT	https://www.dymhongkong.com/en/	C:/My%20Web%20Sites/InternAtDYM/www.dymhongkong.com/en/index.html	(from https://www.dymhongkong.com/)
14:35:48	220649/220649	---M-Z	200	added ('OK')	application/x-javascript	etag:%22c1e25e76b42ff87060bb51aed890ea65%22	http://connect.facebook.net/ja_JP/sdk.js	C:/My%20Web%20Sites/InternAtDYM/connect.facebook.net/ja_JP/sdk.js	(from https://www.dymhongkong.com/)
14:35:48	3609/3609	---M--	200	added ('OK')	image/png	etag:W/%220%22	https://www.dymhongkong.com/wp-content/themes/dym_hk/images/header_logo.png.pagespeed.ce.Hqz9LtM3Iv.png	C:/My%20Web%20Sites/InternAtDYM/www.dymhongkong.com/wp-content/themes/dym_hk/images/header_logo.png.pagespeed.ce.Hqz9LtM3Iv.png	(from https://www.dymhongkong.com/)
14:35:49	47726/47726	---M--	200	added ('OK')	image/jpeg	etag:W/%220%22	https://www.dymhongkong.com/wp-content/themes/dym_hk/images/img_header_info_tel.jpg.pagespeed.ce.jczOM4_zKy.jpg	C:/My%20Web%20Sites/InternAtDYM/www.dymhongkong.com/wp-content/themes/dym_hk/images/img_header_info_tel.jpg.pagespeed.ce.jczOM4_zKy.jpg	(from https://www.dymhongkong.com/)
14:35:49	3742/3742	---M--	200	added ('OK')	image/png	etag:W/%220%22	https://www.dymhongkong.com/wp-content/themes/dym_hk/images/sp_icon_header_line.png.pagespeed.ce.dFtUG2r5SL.png	C:/My%20Web%20Sites/InternAtDYM/www.dymhongkong.com/wp-content/themes/dym_hk/images/sp_icon_header_line.png.pagespeed.ce.dFtUG2r5SL.png	(from https://www.dymhongkong.com/)
14:35:50	4331/4331	---M--	200	added ('OK')	image/png	etag:W/%220%22	https://www.dymhongkong.com/wp-content/themes/dym_hk/images/sp_icon_header_mail.png.pagespeed.ce.6hFlhK_peN.png	C:/My%20Web%20Sites/InternAtDYM/www.dymhongkong.com/wp-content/themes/dym_hk/images/sp_icon_header_mail.png.pagespeed.ce.6hFlhK_peN.png	(from https://www.dymhongkong.com/)
14:35:51	3122/3122	---M--	200	added ('OK')	image/png	etag:W/%220%22	https://www.dymhongkong.com/wp-content/themes/dym_hk/images/sp_icon_header_menu.png.pagespeed.ce.tRe1DaeqVP.png	C:/My%20Web%20Sites/InternAtDYM/www.dymhongkong.com/wp-content/themes/dym_hk/images/sp_icon_header_menu.png.pagespeed.ce.tRe1DaeqVP.png	(from https://www.dymhongkong.com/)
14:35:51	63334/63334	---M-Z	200	added ('OK')	text/html	date:Fri,%2027%20Apr%202018%2005:35:47%20GMT	https://www.dymhongkong.com/reservation/	C:/My%20Web%20Sites/InternAtDYM/www.dymhongkong.com/reservation/index.html	(from https://www.dymhongkong.com/)
14:35:51	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2027%20Apr%202018%2005:35:48%20GMT	https://www.dymhongkong.com/about	C:/My%20Web%20Sites/InternAtDYM/www.dymhongkong.com/about	(from https://www.dymhongkong.com/)
14:35:52	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2027%20Apr%202018%2005:35:48%20GMT	https://www.dymhongkong.com/services	C:/My%20Web%20Sites/InternAtDYM/www.dymhongkong.com/services	(from https://www.dymhongkong.com/)
14:35:53	42032/42032	---M-Z	200	added ('OK')	text/html	date:Fri,%2027%20Apr%202018%2005:35:48%20GMT	https://www.dymhongkong.com/about/	C:/My%20Web%20Sites/InternAtDYM/www.dymhongkong.com/about/index.html	(from https://www.dymhongkong.com/)
14:35:53	41790/41790	---M-Z	200	added ('OK')	text/html	date:Fri,%2027%20Apr%202018%2005:35:49%20GMT	https://www.dymhongkong.com/about/greeting/	C:/My%20Web%20Sites/InternAtDYM/www.dymhongkong.com/about/greeting/index.html	(from https://www.dymhongkong.com/)
14:35:54	36234/36234	---M-Z	200	added ('OK')	text/html	date:Fri,%2027%20Apr%202018%2005:35:49%20GMT	https://www.dymhongkong.com/about/history/	C:/My%20Web%20Sites/InternAtDYM/www.dymhongkong.com/about/history/index.html	(from https://www.dymhongkong.com/)
14:35:54	39929/39929	---M-Z	200	added ('OK')	text/html	date:Fri,%2027%20Apr%202018%2005:35:49%20GMT	https://www.dymhongkong.com/about/image/	C:/My%20Web%20Sites/InternAtDYM/www.dymhongkong.com/about/image/index.html	(from https://www.dymhongkong.com/)
14:35:55	86486/86486	---M--	200	added ('OK')	image/jpeg	etag:W/%220%22	https://www.dymhongkong.com/wp-content/uploads/2017/05/TOP_image_big_170923_japanese.jpg.pagespeed.ce.2bwH3gt3qo.jpg	C:/My%20Web%20Sites/InternAtDYM/www.dymhongkong.com/wp-content/uploads/2017/05/TOP_image_big_170923_japanese.jpg.pagespeed.ce.2bwH3gt3qo.jpg	(from https://www.dymhongkong.com/)
14:35:55	37862/37862	---M-Z	200	added ('OK')	text/html	date:Fri,%2027%20Apr%202018%2005:35:51%20GMT	https://www.dymhongkong.com/guide/	C:/My%20Web%20Sites/InternAtDYM/www.dymhongkong.com/guide/index.html	(from https://www.dymhongkong.com/)
14:35:55	37311/37311	---M-Z	200	added ('OK')	text/html	date:Fri,%2027%20Apr%202018%2005:35:52%20GMT	https://www.dymhongkong.com/guide/insurance/	C:/My%20Web%20Sites/InternAtDYM/www.dymhongkong.com/guide/insurance/index.html	(from https://www.dymhongkong.com/)
14:35:55	3169/3169	---M--	200	added ('OK')	image/gif	etag:W/%220%22	https://www.dymhongkong.com/wp-content/uploads/2018/03/WSJ_180328.gif.pagespeed.ce.PKUwCuFZWP.gif	C:/My%20Web%20Sites/InternAtDYM/www.dymhongkong.com/wp-content/uploads/2018/03/WSJ_180328.gif.pagespeed.ce.PKUwCuFZWP.gif	(from https://www.dymhongkong.com/)
14:35:56	27821/27821	---M--	200	added ('OK')	image/png	etag:W/%220%22	https://www.dymhongkong.com/wp-content/themes/dym_hk/images/img_sidebar_information_tel.png.pagespeed.ce.k37v5u0-FK.png	C:/My%20Web%20Sites/InternAtDYM/www.dymhongkong.com/wp-content/themes/dym_hk/images/img_sidebar_information_tel.png.pagespeed.ce.k37v5u0-FK.png	(from https://www.dymhongkong.com/)
14:35:56	67951/67951	---M-Z	200	added ('OK')	text/html	date:Fri,%2027%20Apr%202018%2005:35:52%20GMT	https://www.dymhongkong.com/staffs/workingshift/	C:/My%20Web%20Sites/InternAtDYM/www.dymhongkong.com/staffs/workingshift/index.html	(from https://www.dymhongkong.com/)
14:35:56	38805/38805	---M-Z	200	added ('OK')	text/html	date:Fri,%2027%20Apr%202018%2005:35:53%20GMT	https://www.dymhongkong.com/services/	C:/My%20Web%20Sites/InternAtDYM/www.dymhongkong.com/services/index.html	(from https://www.dymhongkong.com/)
14:35:56	49630/49630	---M-Z	200	added ('OK')	text/html	date:Fri,%2027%20Apr%202018%2005:35:53%20GMT	https://www.dymhongkong.com/staffs/	C:/My%20Web%20Sites/InternAtDYM/www.dymhongkong.com/staffs/index.html	(from https://www.dymhongkong.com/)
14:35:56	2661/2661	---M--	200	added ('OK')	image/png	etag:W/%220%22	https://www.dymhongkong.com/wp-content/themes/dym_hk/images/btn_sidebar_reserve.png.pagespeed.ce.l8u7IrqxCS.png	C:/My%20Web%20Sites/InternAtDYM/www.dymhongkong.com/wp-content/themes/dym_hk/images/btn_sidebar_reserve.png.pagespeed.ce.l8u7IrqxCS.png	(from https://www.dymhongkong.com/)
14:35:57	40471/40471	---M-Z	200	added ('OK')	text/html	date:Fri,%2027%20Apr%202018%2005:35:53%20GMT	https://www.dymhongkong.com/services/check-up/	C:/My%20Web%20Sites/InternAtDYM/www.dymhongkong.com/services/check-up/index.html	(from https://www.dymhongkong.com/)
14:35:57	35623/35623	---M--	200	added ('OK')	image/png	etag:W/%220%22	https://www.dymhongkong.com/wp-content/themes/dym_hk/images/btn_footer_vaccine.png.pagespeed.ce.4CFRURZD5Q.png	C:/My%20Web%20Sites/InternAtDYM/www.dymhongkong.com/wp-content/themes/dym_hk/images/btn_footer_vaccine.png.pagespeed.ce.4CFRURZD5Q.png	(from https://www.dymhongkong.com/)
14:35:57	38943/38943	---M-Z	200	added ('OK')	text/html	date:Fri,%2027%20Apr%202018%2005:35:54%20GMT	https://www.dymhongkong.com/services/child_health_assesment/	C:/My%20Web%20Sites/InternAtDYM/www.dymhongkong.com/services/child_health_assesment/index.html	(from https://www.dymhongkong.com/)
14:35:58	37445/37445	---M-Z	200	added ('OK')	text/html	date:Fri,%2027%20Apr%202018%2005:35:54%20GMT	https://www.dymhongkong.com/services/lifestyle-disease/	C:/My%20Web%20Sites/InternAtDYM/www.dymhongkong.com/services/lifestyle-disease/index.html	(from https://www.dymhongkong.com/)
14:35:58	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2027%20Apr%202018%2005:35:55%20GMT	https://www.dymhongkong.com/services/maternity	C:/My%20Web%20Sites/InternAtDYM/www.dymhongkong.com/services/maternity	(from https://www.dymhongkong.com/)
14:35:58	47082/47082	---M-Z	200	added ('OK')	text/html	date:Fri,%2027%20Apr%202018%2005:35:54%20GMT	https://www.dymhongkong.com/vaccination/	C:/My%20Web%20Sites/InternAtDYM/www.dymhongkong.com/vaccination/index.html	(from https://www.dymhongkong.com/)
14:35:58	134976/134976	---M--	200	added ('OK')	image/jpeg	etag:W/%220%22	https://www.dymhongkong.com/wp-content/uploads/2018/03/infg.jpg.pagespeed.ce.HhDoeOpdEB.jpg	C:/My%20Web%20Sites/InternAtDYM/www.dymhongkong.com/wp-content/uploads/2018/03/infg.jpg.pagespeed.ce.HhDoeOpdEB.jpg	(from https://www.dymhongkong.com/)
